"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"05.11.2021","4,5944","4,6027","4,6304","4,5900","0,05%"
"04.11.2021","4,5921","4,5818","4,6119","4,5768","0,32%"
"03.11.2021","4,5775","4,6087","4,6140","4,5718","-0,55%"
"02.11.2021","4,6030","4,6172","4,6283","4,5995","-0,18%"
"01.11.2021","4,6113","4,6125","4,6269","4,6056","0,12%"
"29.10.2021","4,6056","4,6256","4,6338","4,6068","-0,33%"
"28.10.2021","4,6209","4,6222","4,6349","4,6104","0,08%"
"27.10.2021","4,6172","4,6094","4,6296","4,6045","0,29%"
"26.10.2021","4,6037","4,6129","4,6227","4,5956","-0,13%"
"25.10.2021","4,6096","4,6050","4,6232","4,5917","0,21%"
"22.10.2021","4,6001","4,6033","4,6115","4,5934","0,06%"
"21.10.2021","4,5974","4,5816","4,6127","4,5785","0,44%"
"20.10.2021","4,5772","4,5789","4,6019","4,5746","0,12%"
"19.10.2021","4,5717","4,5879","4,5923","4,5683","-0,25%"
"18.10.2021","4,5832","4,5690","4,5932","4,5575","0,40%"
"15.10.2021","4,5651","4,5694","4,5817","4,5587","0,04%"
"14.10.2021","4,5632","4,5730","4,5866","4,5616","-0,11%"
"13.10.2021","4,5681","4,5814","4,5894","4,5685","-0,18%"
"12.10.2021","4,5763","4,5897","4,5960","4,5725","-0,20%"
"11.10.2021","4,5855","4,6045","4,6190","4,5802","-0,21%"
"08.10.2021","4,5953","4,5837","4,6257","4,5774","0,36%"
"07.10.2021","4,5787","4,5490","4,5863","4,5378","0,75%"
"06.10.2021","4,5447","4,6076","4,6336","4,5447","-1,23%"
"05.10.2021","4,6013","4,5967","4,6256","4,5792","0,22%"
"04.10.2021","4,5912","4,5774","4,6021","4,5616","0,39%"
"01.10.2021","4,5734","4,6089","4,6179","4,5723","-0,69%"
"30.09.2021","4,6050","4,6335","4,6493","4,5882","-0,53%"
"29.09.2021","4,6294","4,6353","4,6413","4,6233","-0,03%"
"28.09.2021","4,6310","4,5975","4,6458","4,5940","0,85%"
"27.09.2021","4,5920","4,6044","4,6151","4,5880","-0,09%"
"24.09.2021","4,5961","4,6128","4,6231","4,5999","-0,27%"
"23.09.2021","4,6087","4,6216","4,6304","4,5985","-0,18%"
"22.09.2021","4,6171","4,6206","4,6354","4,6122","0,03%"
"21.09.2021","4,6155","4,6051","4,6311","4,5974","0,32%"
"20.09.2021","4,6008","4,5918","4,6132","4,5840","0,32%"
"17.09.2021","4,5860","4,5743","4,5976","4,5689","0,34%"
"16.09.2021","4,5703","4,5651","4,5845","4,5569","0,23%"
"15.09.2021","4,5600","4,5481","4,5708","4,5416","0,38%"
"14.09.2021","4,5429","4,5504","4,5616","4,5426","-0,06%"
"13.09.2021","4,5455","4,5443","4,5568","4,5336","0,10%"
"10.09.2021","4,5410","4,5455","4,5521","4,5363","0,00%"
"09.09.2021","4,5409","4,5188","4,5502","4,5129","0,60%"
"08.09.2021","4,5137","4,5104","4,5258","4,5061","0,18%"
"07.09.2021","4,5057","4,5236","4,5319","4,5052","-0,28%"
"06.09.2021","4,5183","4,5079","4,5307","4,5016","0,33%"
"03.09.2021","4,5033","4,5134","4,5222","4,5017","-0,13%"
"02.09.2021","4,5090","4,5078","4,5191","4,5025","0,15%"
"01.09.2021","4,5022","4,5234","4,5311","4,4998","-0,37%"
"31.08.2021","4,5189","4,5609","4,5698","4,5142","-0,82%"
"30.08.2021","4,5561","4,5756","4,5837","4,5563","-0,32%"
"27.08.2021","4,5707","4,5752","4,5877","4,5644","-0,03%"
"26.08.2021","4,5719","4,5734","4,5824","4,5665","0,05%"
"25.08.2021","4,5696","4,5735","4,5819","4,5645","0,02%"
"24.08.2021","4,5686","4,5831","4,5917","4,5699","-0,22%"
"23.08.2021","4,5789","4,5853","4,5953","4,5723","0,03%"
"20.08.2021","4,5775","4,5844","4,5963","4,5767","-0,03%"
"19.08.2021","4,5790","4,5558","4,5939","4,5519","0,58%"
"18.08.2021","4,5525","4,5645","4,5690","4,5497","-0,18%"
"17.08.2021","4,5609","4,5609","4,5752","4,5564","0,07%"
"16.08.2021","4,5576","4,5675","4,5712","4,5570","-0,09%"
"13.08.2021","4,5617","4,5765","4,5839","4,5622","-0,21%"
"12.08.2021","4,5711","4,5805","4,5980","4,5714","-0,09%"
"11.08.2021","4,5753","4,5770","4,5931","4,5711","0,07%"
"10.08.2021","4,5720","4,5655","4,5847","4,5560","0,22%"
"09.08.2021","4,5618","4,5739","4,5818","4,5613","-0,23%"
"06.08.2021","4,5723","4,5462","4,5798","4,5376","0,69%"
"05.08.2021","4,5409","4,5459","4,5652","4,5382","0,01%"
"04.08.2021","4,5406","4,5539","4,5585","4,5325","-0,15%"
"03.08.2021","4,5475","4,5582","4,5658","4,5449","-0,13%"
"02.08.2021","4,5532","4,5663","4,5742","4,5499","-0,21%"
"30.07.2021","4,5629","4,5710","4,5811","4,5578","-0,08%"
"29.07.2021","4,5666","4,5978","4,6006","4,5670","-0,55%"
"28.07.2021","4,5920","4,5982","4,6062","4,5894","-0,06%"
"27.07.2021","4,5947","4,5939","4,6024","4,5838","0,15%"
"26.07.2021","4,5880","4,5750","4,5982","4,5716","0,45%"
