"Rok","liczba_zawartych_malzenstw","liczba_rozwodow","urodzenia_ogolem","ur_chlopcy","ur_dziewczeta","zgony_ogolem","zgony_mezczyzni","zgony_kobiety"
"2007","416","155","614","332","282","673","337","336"
"2008","383","161","639","312","327","619","336","283"
"2009","395","132","657","338","319","639","304","335"
"2010","348","121","570","290","280","628","309","319"
"2011","316","132","516","264","252","628","320","308"
"2012","310","123","535","291","244","601","309","292"
"2013","269","117","518","265","253","638","315","323"
"2014","303","124","524","256","268","660","339","321"
"2015","265","115","384","261","225","721","344","377"
"2016","284","128","388","268","232","679","345","334"
"2017","300","108","598","336","262","683","331","352"
"2018","251","136","541","276","265","705","350","355"
"2019","555","111","222","333","444","555","666","777"
